Polynomial-Degree	Time
500	1491
500	1649
500	1506
500	1499
500	1537
1000	3962
1000	4464
1000	4422
1000	3794
1000	3682
1500	6950
1500	7172
1500	6998
1500	7052
1500	7111
2000	10830
2000	9651
2000	10846
2000	9565
2000	10790
2500	12923
2500	12455
2500	12587
2500	12528
2500	12877
3000	17049
3000	17231
3000	17118
3000	17119
3000	17602
3500	21021
3500	20918
3500	20664
3500	20816
3500	20869
4000	26289
4000	26282
4000	26382
4000	26557
4000	26397
4500	29459
4500	28846
4500	28987
4500	28945
4500	29180
5000	35978
5000	33800
5000	32584
5000	32602
5000	33315
5500	40313
5500	39785
5500	39179
5500	40017
5500	39736
6000	45657
6000	46841
6000	45736
6000	44761
6000	45941
6500	51271
6500	51242
6500	50956
6500	50837
6500	49976
7000	55892
7000	54946
7000	56072
7000	55640
7000	54342
7500	64988
7500	66340
7500	66485
7500	65858
7500	66145
8000	73942
8000	73763
8000	72424
8000	71495
8000	73173
8500	78670
8500	77230
8500	77986
8500	75831
8500	80625
9000	83774
9000	82186
9000	84016
9000	83969
9000	85876
9500	91554
9500	90903
9500	90158
9500	92782
9500	90612
10000	100465
10000	100269
10000	96712
10000	102702
10000	98698
